name,accessionYear,pop2020
Australia,1971,25499.884
Austria,1961,9006.398
Belgium,1961,11589.623
Canada,1961,37742.154
Chile,2010,19116.201
Colombia,,
Czech Republic,1995,10708.981
Denmark,1961,5792.202
Estonia,2010,1326.535
Finland,1969,5540.72
France,1961,65273.511
Germany,1961,83783.942
Greece,1961,10423.054
Hungary,1996,9660.351
Iceland,1961,341.243
Ireland,1961,4937.786
Israel,2010,8655.535
Italy,1962,60461.826
Japan,1964,126476.461
Latvia,2016,1886.198
Lithuania,2018,2722.289
Luxembourg,1961,625.978
Mexico,1994,128932.753
Netherlands,1961,17134.872
New Zealand,1973,4822.233
Norway,1961,5421.241
Poland,1996,37846.611
Portugal,1961,10196.709
Slovenia,2010,2078.938
Slovakia,,
South Korea,1996,51269.185
Spain,1961,46754.778
Sweden,1961,10099.265
Switzerland,1961,8654.622
Turkey,1961,84339.067
United Kingdom,1961,67886.011
United States,1961,331002.651
